"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000177663",9616.06452391454,-0.452168781398222,0.088313479060546,-5.12004267308079,3.05466527317143e-07,5.49562052327842e-05
"ENSG00000120029",856.20596249129,-0.222437282314763,0.043535643517873,-5.10931421568271,3.23330247499078e-07,5.74242810077529e-05
"ENSG00000172794",4677.5713774319,-0.342978844762786,0.0672712787113002,-5.09844396201692,3.42456879163805e-07,5.94551827173432e-05
"ENSG00000153130",462.126309193623,0.513651580316696,0.100756470050926,5.09795132815866,3.43349066439577e-07,5.94551827173432e-05
"ENSG00000163606",318.72031751371,0.509675899602379,0.100858830003395,5.05335923077059,4.34106298724346e-07,7.42428957559057e-05
"ENSG00000172349",10893.3798467569,-0.191406206420643,0.0379140199093409,-5.04842817718431,4.45459878678647e-07,7.52555573089671e-05
"ENSG00000174151",1786.50842032752,-0.319522017804246,0.0633396473628531,-5.0445815710625,4.54514903206838e-07,7.56363370914575e-05
"ENSG00000066117",1762.42580266301,-0.33009917766042,0.0654881744359456,-5.04059214512526,4.64093600864353e-07,7.56363370914575e-05
"ENSG00000100342",1243.92847201958,-0.506842184121772,0.100539469654058,-5.04122595698727,4.62558901562641e-07,7.56363370914575e-05
"ENSG00000110696",2340.28202070595,0.315374530557472,0.0627240089811533,5.02797151649271,4.95695482185461e-07,7.87740314119489e-05
"ENSG00000167995",1991.94526034596,-0.542874548364268,0.108053825600195,-5.02411224543713,5.05766523274551e-07,7.87740314119489e-05
"ENSG00000087111",1652.35584436378,-0.26338493497988,0.0524254615637536,-5.02398886196895,5.06091734329276e-07,7.87740314119489e-05
"ENSG00000129353",15757.2782867445,-0.367381157261008,0.0730872005865042,-5.02661415833249,4.99215354496011e-07,7.87740314119489e-05
"ENSG00000105438",1172.62894046917,-0.344410689725378,0.0686767898780032,-5.01495032509798,5.30471691646981e-07,8.16513816042848e-05
"ENSG00000037637",1166.06622335533,-0.196560246633048,0.0392325433627515,-5.01013265481196,5.43925294097517e-07,8.28021659245375e-05
"ENSG00000145016",1689.00926439597,-0.343311919841956,0.0685965060628817,-5.00480184117899,5.59195253634894e-07,8.4201433137002e-05
"ENSG00000170296",1958.78866007053,-0.527788319726399,0.105679464225303,-4.99423727774754,5.90687400383659e-07,8.79870167474712e-05
"ENSG00000178988",2191.06305652303,0.288020182842821,0.0577186954032841,4.99006744401284,6.03582148453097e-07,8.89513138566037e-05
